game_id,game_date,team_abbrev,home_away,shots_for,shots_against,goals_for,goals_against
2023020141,2023-11-01,PHI,home,40,15,2,5
2023020141,2023-11-01,BUF,away,15,40,5,2
2023020142,2023-11-01,CGY,home,47,30,3,4
2023020142,2023-11-01,DAL,away,30,47,4,3
2023020143,2023-11-01,COL,home,28,28,4,1
2023020143,2023-11-01,STL,away,28,28,1,4
2023020144,2023-11-01,ANA,home,29,35,4,3
2023020144,2023-11-01,ARI,away,35,29,3,4
2023020145,2023-11-02,BOS,home,40,35,3,2
2023020145,2023-11-02,TOR,away,35,40,2,3
2023020146,2023-11-02,CBJ,home,28,29,4,2
2023020146,2023-11-02,TBL,away,29,28,2,4
2023020147,2023-11-02,DET,home,22,27,0,2
2023020147,2023-11-02,FLA,away,27,22,2,0
2023020148,2023-11-02,NYR,home,26,27,2,1
2023020148,2023-11-02,CAR,away,27,26,1,2
2023020149,2023-11-02,OTT,home,26,38,2,3
2023020149,2023-11-02,LAK,away,38,26,3,2
2023020150,2023-11-02,WSH,home,32,21,0,3
2023020150,2023-11-02,NYI,away,21,32,3,0
2023020151,2023-11-02,MIN,home,25,38,3,5
2023020151,2023-11-02,NJD,away,38,25,5,3
2023020152,2023-11-02,EDM,home,49,27,3,4
2023020152,2023-11-02,DAL,away,27,49,4,3
2023020153,2023-11-02,ARI,home,35,30,3,2
2023020153,2023-11-02,MTL,away,30,35,2,3
2023020154,2023-11-02,SEA,home,31,34,4,2
2023020154,2023-11-02,NSH,away,34,31,2,4
2023020155,2023-11-02,VGK,home,26,31,5,2
2023020155,2023-11-02,WPG,away,31,26,2,5
2023020156,2023-11-02,SJS,home,31,33,1,10
2023020156,2023-11-02,VAN,away,33,31,10,1
2023020157,2023-11-03,BUF,home,22,19,1,5
2023020157,2023-11-03,PHI,away,19,22,5,1
2023020158,2023-11-03,STL,home,35,34,4,1
2023020158,2023-11-03,NJD,away,34,35,1,4
2023020159,2023-11-04,EDM,home,35,34,2,5
2023020159,2023-11-04,NSH,away,34,35,5,2
2023020160,2023-11-04,ARI,home,25,27,3,5
2023020160,2023-11-04,WPG,away,27,25,5,3
2023020161,2023-11-04,DET,home,40,30,5,4
2023020161,2023-11-04,BOS,away,30,40,4,5
2023020162,2023-11-04,OTT,home,28,38,4,6
2023020162,2023-11-04,TBL,away,38,28,6,4
2023020163,2023-11-04,PHI,home,24,30,0,5
2023020163,2023-11-04,LAK,away,30,24,5,0
2023020164,2023-11-04,STL,home,35,33,6,3
2023020164,2023-11-04,MTL,away,33,35,3,6
2023020165,2023-11-04,TOR,home,28,41,4,6
2023020165,2023-11-04,BUF,away,41,28,6,4
2023020166,2023-11-04,WSH,home,27,35,2,1
2023020166,2023-11-04,CBJ,away,35,27,1,2
2023020167,2023-11-04,NYI,home,25,46,3,4
2023020167,2023-11-04,CAR,away,46,25,4,3
2023020168,2023-11-04,CHI,home,25,40,5,2
2023020168,2023-11-04,FLA,away,40,25,2,5
2023020169,2023-11-04,MIN,home,39,18,5,4
2023020169,2023-11-04,NYR,away,18,39,4,5
2023020170,2023-11-04,SEA,home,20,31,3,6
2023020170,2023-11-04,CGY,away,31,20,6,3
2023020171,2023-11-04,SJS,home,26,35,2,10
2023020171,2023-11-04,PIT,away,35,26,10,2
2023020172,2023-11-04,VAN,home,28,27,2,0
2023020172,2023-11-04,DAL,away,27,28,0,2
2023020173,2023-11-04,VGK,home,34,41,7,0
2023020173,2023-11-04,COL,away,41,34,0,7
2023020174,2023-11-05,CHI,home,34,41,2,4
