team,opponent,player_name,position,position_id,line,line_id,jersey_number,injury_status,game_time_decision,scrape_date,team_slug,player_id
detroit-red-wings,new-york-islanders,Cam Talbot,Backup Goalie,g2,Goalies,g,39.0,,False,2025-12-16,,
edmonton-oilers,pittsburgh-penguins,Tristan Jarry,Starting Goalie,g1,Goalies,g,,,False,2025-12-16,,
edmonton-oilers,pittsburgh-penguins,Calvin Pickard,Backup Goalie,g2,Goalies,g,30.0,,False,2025-12-16,,
minnesota-wild,washington-capitals,Filip Gustavsson,Starting Goalie,g1,Goalies,g,32.0,,False,2025-12-16,,
minnesota-wild,washington-capitals,Jesper Wallstedt,Backup Goalie,g2,Goalies,g,,,False,2025-12-16,,
montreal-canadiens,philadelphia-flyers,Jakub Dobes,Starting Goalie,g1,Goalies,g,75.0,,False,2025-12-16,,
montreal-canadiens,philadelphia-flyers,Jacob Fowler,Backup Goalie,g2,Goalies,g,,,False,2025-12-16,,
new-york-islanders,detroit-red-wings,Ilya Sorokin,Starting Goalie,g1,Goalies,g,30.0,,False,2025-12-16,,
new-york-islanders,detroit-red-wings,David Rittich,Backup Goalie,g2,Goalies,g,31.0,,False,2025-12-16,,
new-york-rangers,vancouver-canucks,Igor Shesterkin,Starting Goalie,g1,Goalies,g,31.0,,False,2025-12-16,,
new-york-rangers,vancouver-canucks,Jonathan Quick,Backup Goalie,g2,Goalies,g,32.0,,False,2025-12-16,,
philadelphia-flyers,montreal-canadiens,Dan Vladar,Starting Goalie,g1,Goalies,g,80.0,,False,2025-12-16,,
philadelphia-flyers,montreal-canadiens,Samuel Ersson,Backup Goalie,g2,Goalies,g,33.0,,False,2025-12-16,,
pittsburgh-penguins,edmonton-oilers,Stuart Skinner,Starting Goalie,g1,Goalies,g,74.0,,False,2025-12-16,,
pittsburgh-penguins,edmonton-oilers,Arturs Silovs,Backup Goalie,g2,Goalies,g,,,False,2025-12-16,,
san-jose-sharks,calgary-flames,Yaroslav Askarov,Starting Goalie,g1,Goalies,g,30.0,,False,2025-12-16,,
san-jose-sharks,calgary-flames,Alex Nedeljkovic,Backup Goalie,g2,Goalies,g,33.0,,False,2025-12-16,,
seattle-kraken,colorado-avalanche,Joey Daccord,Starting Goalie,g1,Goalies,g,35.0,,False,2025-12-16,,
seattle-kraken,colorado-avalanche,Philipp Grubauer,Backup Goalie,g2,Goalies,g,31.0,,False,2025-12-16,,
toronto-maple-leafs,chicago-blackhawks,Dennis Hildeby,Starting Goalie,g1,Goalies,g,,,False,2025-12-16,,
